Cohort,Attribute
on the shopping list- distilled beverages,im - spirits
on the shopping list- distilled beverages,im - spirits under ?30
on the shopping list- distilled beverages,ls - gin spirits
on the shopping list- distilled beverages,ls - rum spirits
on the shopping list- distilled beverages,"im - beer, wine and spirits"
on the shopping list- distilled beverages,im - liqueurs
on the shopping list- distilled beverages,im - whisky
on the shopping list- distilled beverages,im - rum
on the shopping list- distilled beverages,im - gin
on the shopping list- distilled beverages,im - vodka
on the shopping list- distilled beverages,im - pre-mixed and ready to drink
on the shopping list- distilled beverages,im - flavoured vodka
on the shopping list- distilled beverages,im - drinks & beverages books
on the shopping list- distilled beverages,im - cognac
on the shopping list- distilled beverages,im - spirits over ?30
on the shopping list- distilled beverages,im - tequila
on the shopping list- energy drinks,im - energy drinks
on the shopping list- juice,im - juices & smoothies books
on the shopping list- juice,im - juicers
on the shopping list- organic food,ls - planet organic
on the shopping list- organic food,im - healthy food
on the shopping list- organic food,ls - green/environmentally conscious
on the shopping list- organic food,im - food reference & gastronomy books
on the shopping list- organic food,im - nuts & seeds
on the shopping list- pastry,im - baking enthusiasts
on the shopping list- pastry,im - cake toppers
on the shopping list- pizza,im - italian food & drink books
on the shopping list- soft drinks,im - pre-mixed and ready to drink
on the shopping list- spirits,"ls - alcohol (wine, beer or spirits)"
on the shopping list- spirits,ls -spirits under ?30
on the shopping list- spirits,im - spirits
on the shopping list- spirits,im - spirits under ?30
on the shopping list- spirits,ls - gin spirits
on the shopping list- spirits,ls - rum spirits
on the shopping list- spirits,"im - beer, wine and spirits"
on the shopping list- spirits,im - liqueurs
on the shopping list- spirits,im - whisky
on the shopping list- spirits,im - rum
on the shopping list- spirits,im - gin
on the shopping list- spirits,im - vodka
on the shopping list- spirits,im - flavoured vodka
on the shopping list- spirits,im - drinks & beverages books
on the shopping list- spirits,im - cognac
on the shopping list- spirits,im - spirits over ?30
on the shopping list- spirits,im - tequila
on the shopping list- tarts & sweet treats,"im - jams, honey & spreads"
on the shopping list- tea,im - tea
on the shopping list- tea,"im - coffee, tea and beverages"
on the shopping list- tea,im - fruit & herbal tea
on the shopping list- vegan food,im - healthy food
on the shopping list- vegan food,ls - gluten free grocery shoppers
on the shopping list- vegan food,im - nuts & seeds
on the shopping list- viennoiserie,im - baking enthusiasts
on the shopping list- viennoiserie,im - french food & drink books
on the shopping list- viennoiserie,im - pralines & truffles
on the shopping list- wine,"im - beer, wine and spirits"
on the shopping list- wine,im - red wine
on the shopping list- wine,im - wine
on the shopping list- wine,im - sparkling wine & champagne
on the shopping list- wine,im - prosecco
on the shopping list- wine,im - port wine
on the shopping list- wine,im - champagne
on the shopping list- wine,im - fortified & dessert wines
on the shopping list- wine,im - white wine
on the shopping list- wine,im - wine fridges
on the shopping list- wine,im - beer & wine storage & dispensers
on the shopping list- wine,im - ros? wine
on-the-pulse fashionistas,im - fashion
on-the-pulse fashionistas,ls - athleisure
on-the-pulse fashionistas,ls - fashionistas
on-the-pulse fashionistas,im - men's apparel
on-the-pulse fashionistas,im - women's apparel
on-the-pulse fashionistas,ls - frequent shoppers - fashion
on-the-pulse fashionistas,im - clothing
on-the-pulse fashionistas,ls - premium shoppers of fashion (uk)
on-the-pulse fashionistas,im - men's fashion
on-the-pulse fashionistas,im - women's fashion
on-the-pulse fashionistas,"im - women's tops, t-shirts & blouses"
on-the-pulse fashionistas,im - women's t-shirts
on-the-pulse fashionistas,im - women's fashion smartwatches
on-the-pulse fashionistas,im - men's fashion smartwatches
on-the-pulse fashionistas- shoes,im - men's shoes
on-the-pulse fashionistas- shoes,im - women's shoes
on-the-pulse fashionistas- shoes,im - men's fashion
on-the-pulse fashionistas- shoes,im - shoe care products & accessories
on-the-pulse fashionistas- shoes,im - women's fashion
on-the-pulse fashionistas- shoes,im - men's fashion trainers
on-the-pulse fashionistas- shoes,im - women's boots
on-the-pulse fashionistas- shoes,im - women's fashion trainers
on-the-pulse fashionistas- shoes,im - men's boots
on-the-pulse fashionistas- shoes,im - shoe treatments and polishes
on-the-pulse fashionistas- shoes,im - women's fashion sandals
on-the-pulse fashionistas- shoes,im - shoe care kits
on-the-pulse fashionistas- shoes,im - footwear
on-the-pulse fashionistas- shoes,im - girls' flip flops & thong sandals
on-the-pulse fashionistas- shoes,im - men's basketball shoes
on-the-pulse fashionistas- shoes,im - men's boat & deck shoes
on-the-pulse fashionistas- shoes,im - women's espadrille shoes
on-the-pulse fashionistas- shoes,im - women's mules
oneplus fans,ls - android os fans
oneplus fans,im - mobile phones
oneplus fans,im - smartphones
oneplus fans,im - google smartphones
oneplus fans,im - huawei smartphones
oneplus fans,im - sim-free smartphones
oneplus fans,im - nokia smartphones
online gamblers,ls - interested in app  - games: casino
online gamers,im - pc & video games
online gamers,im - video games
online gamers,im - triple a video games
online gamers,im - apps & games
online gamers,im - gaming apps
online gamers,ls - frequent shoppers - games
online gamers,im - entertainment apps
online gamers,"im - mac consoles, games & accessories"
online gamers,im - xbox one headsets & headphones
online gamers,ls - premium gaming pc shoppers
online gamers,im - pc headsets
online gamers,im - pc headsets & headphones
online gamers,im - playstation 4 headsets & headphones
online learning suppliers,im - educational supplies
